OBT:003381	fermented cheese
OBT:000286	flocculent
OBT:000297	granular
OBT:000809	pigmented
OBT:001272	purple pigmented
OBT:001372	violet pigmented
OBT:001156	indigo pigmented
OBT:001008	blue pigmented
OBT:001137	green pigmented
OBT:001386	yellow pigmented
OBT:001240	orange pigmented
OBT:001280	red pigmented
OBT:001019	brown pigmented
OBT:001007	black pigmented
OBT:001131	golden pigmented
OBT:001318	silver pigmented
OBT:001382	white pigmented
OBT:001054	cream pigmented
OBT:001255	pink pigmented
OBT:001197	maroon pigmented
OBT:001107	fluorescent pigmented
OBT:002337	antimicrobial resistant
OBT:002677	antifungal resistant
OBT:002680	antiviral resistant
OBT:002671	antibacterial resistant
OBT:002683	antiyeast resistant
OBT:000379	phenotype wrt carbon source
OBT:000385	phenotype wrt reducing equivalent source
OBT:000383	phenotype wrt living energy source
OBT:000712	lithotroph
OBT:000778	organotroph
OBT:001105	fermentative
OBT:000733	methanogenic
OBT:000443	syntrophic
OBT:002991	hydrogen oxidizing
OBT:003028	sulfur oxidizing
OBT:002984	ferrous iron oxidizing
OBT:002955	ammonia oxidizing
OBT:003036	anammox
OBT:002959	arsenic oxidizing
OBT:003299	photoorganoheterotroph
OBT:000402	psychrotrophic
OBT:000275	extreme thermophile
OBT:002945	thermal resistant
OBT:002987	heat resistant
OBT:002975	cold resistant
OBT:002982	extreme cold resistant
OBT:002983	extreme heat resistant
OBT:001997	disease resistant
OBT:000381	phenotype wrt drug impact
OBT:000378	phenotype wrt antimicrobial impact
OBT:000125	phenotype wrt disease impact
OBT:000384	phenotype wrt metal concentration impact
OBT:000137	phenotype wrt relative humidity impact
OBT:001992	desiccation resistant
OBT:001994	desiccation tolerant
OBT:001993	desiccation sensitive
OBT:001999	disease tolerant
OBT:001998	disease sensitive
OBT:002338	antimicrobial sensitive
OBT:002684	antiyeast sensitive
OBT:002678	antifungal sensitive
OBT:002681	antiviral sensitive
OBT:002672	antibacterial sensitive
OBT:002339	antimicrobial tolerant
OBT:002685	antiyeast tolerant
OBT:002679	antifungal tolerant
OBT:002682	antiviral tolerant
OBT:002673	antibacterial tolerant
OBT:002676	antibiotic tolerant
OBT:002675	antibiotic sensitive
OBT:002522	metal sensitive
OBT:002523	metal tolerant
OBT:002875	vancomycin sensitive
OBT:002818	meticillin sensitive
OBT:002821	moxifloxacin sensitive
OBT:002774	ciprofloxacin sensitive
OBT:002876	vancomycin tolerant
OBT:002819	meticillin tolerant
OBT:002822	moxifloxacin tolerant
OBT:002775	ciprofloxacin tolerant
OBT:001712	phenotype wrt chemical composition
OBT:002829	penicillin resistant
OBT:002830	penicillin sensitive
OBT:002831	penicillin tolerant
OBT:002881	acido resistant
OBT:002886	alkali resistant
OBT:002882	acido sensitive
OBT:002887	alkali sensitive
OBT:000133	phenotype wrt molecule impact
OBT:000138	phenotype wrt temperature impact
OBT:000152	stress resistant
OBT:000153	stress sensitive
OBT:000154	stress tolerant
OBT:000598	drug resistant
OBT:000600	drug tolerant
OBT:000599	drug sensitive
OBT:000104	lichen forming
OBT:000057	bloom forming
OBT:000136	phenotype wrt radiation impact
OBT:002212	radiation resistant
OBT:002213	radiation sensitive
OBT:002214	radiation tolerant
OBT:002330	UV radiation resistant
OBT:002659	UVA radiation resistant
OBT:002662	UVB radiation resistant
OBT:002665	UVC radiation resistant
OBT:002492	ionizing radiation resistant
OBT:002493	ionizing radiation sensitive
OBT:002494	ionizing radiation tolerant
OBT:002666	UVC radiation sensitive
OBT:002663	UVB radiation sensitive
OBT:002660	UVA radiation sensitive
OBT:002331	UV radiation sensitive
OBT:002332	UV radiation tolerant
OBT:002667	UVC radiation tolerant
OBT:002664	UVB radiation tolerant
OBT:002661	UVA radiation tolerant
OBT:002985	freeze-thaw resistant
OBT:000373	part of food
OBT:000902	surface of food
OBT:000456	transconjugating
OBT:000789	paired
OBT:000652	grape-like clustered
OBT:000552	chained
OBT:000578	cuboidal
OBT:000914	tetrad
OBT:000872	singled
OBT:002290	thermal tolerant
OBT:002289	thermal sensitive
OBT:002478	heat sensitive
OBT:002440	extreme cold sensitive
OBT:002442	extreme heat sensitive
OBT:002453	freeze-thaw sensitive
OBT:002404	cold sensitive
OBT:002480	heat tolerant
OBT:002441	extreme cold tolerant
OBT:002443	extreme heat tolerant
OBT:002454	freeze-thaw tolerant
OBT:002406	cold tolerant
OBT:000656	halophile
OBT:000242	conidial
OBT:000122	non-sporulating
OBT:001145	home-made food
OBT:002238	salted food
OBT:001781	soybean and related product
OBT:003059	leaf based drink
OBT:003215	malt
OBT:001142	head
OBT:001346	tail
OBT:001728	powdered food
OBT:003053	goulash
OBT:002120	maize and primary derivative thereof
OBT:003595	pozol
OBT:003069	pozole
OBT:001337	stew
OBT:001448	birria
OBT:002269	stewed food
OBT:001515	dashi
OBT:002093	kombu
OBT:001676	okpehe
OBT:000511	beer yeast
OBT:000968	wine yeast
OBT:001170	lager yeast
OBT:000981	ale yeast
OBT:000999	baking powder
OBT:001000	baking soda
OBT:000894	starter yeast
OBT:000474	Saccharomyces cerevisiae starter
OBT:001188	lyophilized milk starter
OBT:003537	sourdough starter
OBT:002705	emmer wheat product
OBT:002701	durum wheat product
OBT:002690	bread wheat product
OBT:002746	spelt product
OBT:002702	einkorn wheat product
OBT:002723	khorasan product
OBT:001893	barley and primary derivative thereof
OBT:002233	rye and primary derivative thereof
OBT:002154	oat and primary derivative thereof
OBT:001622	lupin and related product
OBT:001132	grain and primary derivative thereof
OBT:001462	buckwheat and primary derivative thereof
OBT:002276	sunflower seed
OBT:002295	triticale and primary derivative thereof
OBT:001723	poppy seed and primary derivative thereof
OBT:001734	quinoa and primary derivative thereof
OBT:002285	teff and primary derivative thereof
OBT:001484	chia seed and primary derivative thereof
OBT:002137	millet and primary derivative thereof
OBT:001403	amaranth and primary derivative thereof
OBT:001731	pumpkin seed and primary derivative thereof
OBT:001551	flaxseed and primary derivative thereof
OBT:001593	hemp seed and primary derivative thereof
OBT:002745	sourdough bread
OBT:002756	yeast bread
OBT:002435	enriched bread
OBT:002462	gluten-free bread
OBT:003415	final sourdough
OBT:003407	chief sourdough
OBT:003436	type I sourdough
OBT:003437	type II sourdough
OBT:003438	type III sourdough
OBT:003435	traditional sourdough
OBT:002503	leavened bread
OBT:003420	laboratory sourdough
OBT:002301	viennoiserie
OBT:002416	croissant
OBT:002333	Vienna bread
OBT:002323	Danish pastry
OBT:002373	brioche
OBT:002174	pastry product
OBT:001920	bun
OBT:002280	sweet dough
OBT:003421	leavened dough
OBT:002413	cream pastry
OBT:002565	puff pastry
OBT:002326	Knieküchle
OBT:001556	food fermentation equipment
OBT:002025	fermentation vat
OBT:003301	ripening room
OBT:001209	milled food
OBT:001458	bran
OBT:003414	fermented dough
OBT:002270	storage box
OBT:001241	oven
OBT:002000	dough mixer
OBT:000386	phenotype wrt shape
OBT:000880	smooth colony
OBT:000632	fluffy colony
OBT:000897	structured colony
OBT:000144	pseudohyphae growth
OBT:000099	hyphae growth
OBT:000148	sexual reproduction
OBT:000051	asexual reproduction
OBT:000147	sexual mating
OBT:000310	homothallic
OBT:000305	heterothallic
OBT:000022	phenotype wrt ploidy
OBT:000096	haploid
OBT:000069	diploid
OBT:000159	tetraploid
OBT:000037	aneuploid
OBT:000163	triploid
OBT:000053	autoploid
OBT:000036	alloploid
OBT:000172	MATa
OBT:000173	MATalpha
OBT:000203	auxotroph
OBT:000399	prototroph
OBT:000024	phenotypre wrt genetic
OBT:000169	wild-type
OBT:000118	mutant
OBT:000577	crabtree positive
OBT:000576	crabtree negative
OBT:003067	petite positive
OBT:000879	small colony
OBT:000513	big colony
OBT:002035	flor
OBT:001531	drosophila
OBT:003526	Tilsit
OBT:003505	Gubbeen
OBT:003525	Taleggio
OBT:003508	Liederkranz
OBT:003520	Saint-Paulin
OBT:003540	Fuzhuan brick tea
OBT:003387	meju
OBT:001950	chili pepper and related product
OBT:002395	chili pepper
OBT:003352	chili sauce
OBT:001267	pressed food
OBT:001901	berry and primary derivative thereof
OBT:001903	blackberry and primary derivative thereof
OBT:001904	blackcurrant and primary derivative thereof
OBT:001907	blueberry and primary derivative thereof
OBT:002218	raspberry and primary derivative thereof
OBT:002220	redcurrant and primary derivative thereof
OBT:002272	strawberry and primary derivative thereof
OBT:002103	lemon and primary derivative thereof
OBT:002106	lime and primary derivative thereof
OBT:002121	mandarin and primary derivative thereof
OBT:002162	orange and primary derivative thereof
OBT:001989	date and primary derivative thereof
OBT:002027	fig and primary derivative thereof
OBT:002090	kaki and primary derivative thereof
OBT:003109	olive and primary derivative thereof
OBT:001887	avocado and primary derivative thereof
OBT:001891	banana and primary derivative thereof
OBT:002010	durian and primary derivative thereof
OBT:002091	kiwi and primary derivative thereof
OBT:002111	litchi and primary derivative thereof
OBT:002122	mango and primary derivative thereof
OBT:002188	pineapple and primary derivative thereof
OBT:003356	guacamole
OBT:001879	apple and primary derivative thereof
OBT:002179	pear and primary derivative thereof
OBT:002208	quince and primary derivative thereof
OBT:001881	apricot and primary derivative thereof
OBT:001946	cherry and primary derivative thereof
OBT:002150	nectarine and primary derivative thereof
OBT:002176	peach and primary derivative thereof
OBT:002191	plum and primary derivative thereof
OBT:001954	cinnamon and related product
OBT:001955	citronella grass and related product
OBT:001957	clove and related product
OBT:002616	sweet corn
OBT:002061	ginger and related product
OBT:002099	lavander and related product
OBT:002164	oregano and related product
OBT:002310	white mustard and related product
OBT:002312	winter savory and related product
OBT:002304	wasabi and related product
OBT:001860	amaranth
OBT:001917	buckwheat
OBT:001948	chia seed
OBT:002033	flaxseed
OBT:002076	hemp seed
OBT:002206	pumpkin seed
OBT:002209	quinoa
OBT:002355	barley product
OBT:002513	maize
OBT:002195	poppy seed
OBT:002525	millet
OBT:002536	oat as food
OBT:002590	rye
OBT:002622	teff
OBT:002626	triticale
OBT:002643	wheat product
OBT:002118	lupin
OBT:002119	lupin seed
OBT:000359	neutralophile
OBT:000628	filament-shaped
OBT:000650	gram-variable
OBT:000735	microaerotolerant
OBT:000736	microanaerobe
OBT:002962	beeswax
OBT:003016	propolis
OBT:001070	dietary supplement
OBT:003071	royal jelly
OBT:003040	bee pollen
OBT:002457	frog leg
OBT:003556	fermented fresh cheese
OBT:003592	fermented cottage cheese
OBT:003397	sour cream
OBT:003530	plant based juice
OBT:000984	animal based juice
OBT:003534	fruit based juice
OBT:003539	vegetable based juice
OBT:003087	cereal based drink
OBT:003061	legume based drink
OBT:003064	nut based drink
OBT:003108	oleaginous seed based drink
OBT:003423	oat beverage
OBT:003427	rice beverage
OBT:003410	corn beverage
OBT:003431	spelt beverage
OBT:003366	soy beverage
OBT:003360	lupin beverage
OBT:003354	cowpea beverage
OBT:003362	peanut beverage
OBT:003349	almond beverage
OBT:003353	coconut beverage
OBT:003357	hazelnut beverage
OBT:003363	pistachio beverage
OBT:003370	walnut beverage
OBT:003395	sesame beverage
OBT:003382	flaxseed beverage
OBT:003384	hempseed beverage
OBT:003401	sunflower beverage
OBT:003364	quinoa beverage
OBT:003434	teff beverage
OBT:003350	amaranth milk
OBT:002259	soybean
OBT:001603	ionised food
OBT:001729	pressure treated food
OBT:002079	high pressure treated food
OBT:002770	cantaloupe as food
OBT:002728	muskmelon
OBT:002155	octopus and product thereof
OBT:001986	cuttlefish and product thereof
OBT:001872	animal roe
OBT:003149	fish roe and product thereof
OBT:003375	caviar
OBT:003208	kazunoko
OBT:003216	masago
OBT:003235	tobiko
OBT:003191	cod roe
OBT:003273	sea urchin roe
OBT:001535	echinoderm and product thereof
OBT:002241	sea cucumber and product thereof
OBT:003197	filmjölk
OBT:003214	långfil
OBT:003238	viili
OBT:003210	kumis
OBT:003181	amasi
OBT:003194	dahi
OBT:003193	dadih
OBT:003217	matsoni
OBT:003574	mabisi
OBT:003580	chibwantu
OBT:003218	munkoyo
OBT:002316	yak milk
OBT:003240	xueo
OBT:002221	reheated food
OBT:002068	griddled food
OBT:002240	scalded food
OBT:002249	simmered food
OBT:001905	blanched food
OBT:001266	preserved food
OBT:003013	plant based drink
OBT:003589	wheatgrass juice
OBT:003576	beet juice
OBT:003578	carrot juice
OBT:003579	celery juice
OBT:003582	cucumber juice
OBT:003601	tejuino
OBT:003447	corn milk
OBT:003588	turnip juice
OBT:003584	lemon juice
OBT:003587	tomato juice
OBT:003586	pineapple juice
OBT:003054	grain based drink
OBT:001590	hazelnut and primary derivative thereof
OBT:002074	hazelnut
OBT:001979	cranberry and primary derivative thereof
OBT:002412	cranberry as food
OBT:003088	clam juice
OBT:001636	meat juice
OBT:003454	oat milk
OBT:003455	rice milk
OBT:003460	spelt milk
OBT:003461	teff milk
OBT:003416	flax milk
OBT:003418	hemp milk
OBT:003429	sesame milk
OBT:003433	sunflower milk
OBT:003393	quinoa milk
OBT:003378	cowpea milk
OBT:003386	lupin milk
OBT:003399	soy milk
OBT:003373	almond milk
OBT:003376	coconut milk
OBT:003377	coconut water
OBT:003383	hazelnut milk
OBT:003390	peanut milk
OBT:003391	pistachio milk
OBT:003402	walnut milk
OBT:003442	barley milk
OBT:003405	barley beverage
OBT:001475	cashew and primary derivative thereof
OBT:001936	cashew seed
OBT:001935	cashew apple
OBT:003351	cashew beverage
OBT:003374	cashew milk
OBT:000110	medical sample
OBT:000462	urine sediment
OBT:000416	salivary sediment
OBT:000431	sputum sediment
OBT:000227	cell sediment
OBT:000291	furniture
OBT:000506	bed as furniture
OBT:000553	chair
OBT:000908	table as furniture
OBT:000954	washing machine
OBT:000896	stool as furniture
OBT:000882	sofa as furniture
OBT:000255	dental chair
OBT:002484	hospital bed
OBT:000699	kitchen sponge
OBT:000594	dishcloth
OBT:000698	kitchen sink
OBT:000503	bathroom sink
OBT:002707	faucet handle
OBT:000873	sink drain
OBT:002787	dish towel
OBT:000666	high chair tray
OBT:001165	jellyfish
OBT:001297	sap
OBT:001130	gelatine as ingredient
OBT:000423	silo
OBT:000447	textile
OBT:000926	towel
OBT:001245	paper towel
OBT:000856	sauna
OBT:000920	toilet
OBT:000404	public toilet
OBT:000922	toilet seat
OBT:000208	bathroom equipment
OBT:000455	toilet equipment
OBT:000210	bedroom equipment
OBT:000330	kitchen equipment
OBT:000507	bed sheet
OBT:000810	pillow as equipment
OBT:001101	feather pillow
OBT:000509	bedspread
OBT:000331	landfill
OBT:000167	waste treatment environment
OBT:002877	waste container
OBT:001168	kitchen garbage
OBT:002902	dustbin
OBT:003140	emesis basin
OBT:002901	dumpster
OBT:001770	shoe factory
OBT:000420	shoe
OBT:002748	theatre shoe
OBT:000672	hospital gown
OBT:001343	surgical gown
OBT:001244	paper gown
OBT:000728	medical glove
OBT:000861	scrub as clothing
OBT:000905	surgical cap
OBT:000217	boot swab
OBT:001322	slaugterhouse equipment
OBT:001461	brisket saw
OBT:001635	meat hook
OBT:001467	butcher's knife
OBT:001510	cutting table
OBT:000582	cutting board
OBT:002891	apron
OBT:000566	coffeemaker
OBT:000575	countertop
OBT:000595	dishwasher
OBT:000909	tableware
OBT:001509	cutlery
OBT:001079	drinking glass
OBT:001072	dinner plate
OBT:002262	spoon
OBT:001486	chopstick
OBT:002040	fork as utensil
OBT:002092	knife
OBT:001827	toothpick
OBT:001084	eating utensil
OBT:000923	toiletries
OBT:001032	chewing stick
OBT:001357	toothpaste
OBT:001356	toothbrush
OBT:001311	shampoo
OBT:001312	shaving cream
OBT:000995	baby wipe
OBT:001348	tampon
OBT:001243	panty liner
OBT:001052	cotton swab
OBT:001096	facial tissue
OBT:000658	handkerchief
OBT:001296	sanitary towel
OBT:001155	incontinence pad
OBT:000520	blender
OBT:000636	freezer
OBT:000837	refrigerator
OBT:000738	microwave oven
OBT:000958	water heater system
OBT:001378	water heater
OBT:001149	hot water tank
OBT:001010	boiler
OBT:001025	calorifier
OBT:002909	heat exchanger
OBT:003229	shower head
OBT:002918	nozzle
OBT:002949	water tap
OBT:000916	thermometer as medical device
OBT:001239	oral thermometer
OBT:001279	rectal thermometer
OBT:001083	ear thermometer
OBT:001118	forehead thermometer
OBT:000889	spirometer
OBT:000405	public transport
OBT:000899	subway
OBT:000795	passenger train
OBT:000859	school bus
OBT:000480	airplane
OBT:003313	bus driver
OBT:003324	prostitute
OBT:003331	veterinarian
OBT:002469	guinea fowl meat
OBT:002567	quail meat
OBT:002576	ratite meat
OBT:002731	ostrich meat
OBT:002556	pig's trotter
OBT:001410	animal brain and product thereof
OBT:001423	animal tongue and product thereof
OBT:001414	animal kidney and product thereof
OBT:001415	animal liver and product thereof
OBT:001419	animal roe and product thereof
OBT:001420	animal skin and product thereof
OBT:001421	animal stomach and product thereof
OBT:001413	animal heart and product thereof
OBT:002037	foie gras
OBT:001422	animal tail and product thereof
OBT:001408	animal bone and product thereof
OBT:001411	animal foot and product thereof
OBT:002200	prawn and product thereof
OBT:001412	animal head and product thereof
OBT:001409	animal bone marrow and product thereof
OBT:001418	animal neck and product thereof
OBT:001407	animal blood and product thereof
OBT:002114	lobster and product thereof
OBT:001977	crab and product thereof
OBT:002277	surimi
OBT:002045	freshwater fish meat
OBT:002126	marine fish meat
OBT:001996	diadromous fish meat
OBT:001114	food rind
OBT:001481	cheese rind
OBT:001846	whey
OBT:003153	granita
OBT:001842	water based dish
OBT:003152	gelato
OBT:002053	fruit smoothie
OBT:003102	kebab
OBT:000607	eating and drinking place
OBT:001283	restaurant
OBT:001016	brasserie
OBT:001022	cafeteria
OBT:001347	take-away restaurant
OBT:001099	fast food restaurant
OBT:001115	food truck
OBT:001109	food cart
OBT:001108	food booth
OBT:001023	café
OBT:003284	diner
OBT:001270	public house
OBT:001071	dining car
OBT:000531	buffet
OBT:001460	breakfast cereal
OBT:000788	packed lunch
OBT:001186	lunch box
OBT:000835	ready made meal
OBT:000823	potluck
OBT:003192	constructed wetland
OBT:003396	sewer
OBT:003365	sewerage system
OBT:003400	storm drain
OBT:002816	meltwater
OBT:000959	water storage system
OBT:001274	rainwater tank
OBT:003522	Scimudin
OBT:003473	Formaggio di Fossa
OBT:003483	Valtellina Casera
OBT:003479	Morbier
OBT:003503	Epoisses
OBT:003478	Leerdammer
OBT:003511	Maroilles
OBT:003515	Pont l'Evêque
OBT:003507	Langres
OBT:003519	Saint-Nectaire
OBT:000161	transport and storage equipment
OBT:000787	packaging
OBT:001110	food container
OBT:001456	bottle
OBT:001472	can
OBT:003048	fox
OBT:002908	hagfish
OBT:000574	cosmetics
OBT:001141	hairspray
OBT:000994	baby diaper
OBT:003057	iguana
OBT:002911	kelp
OBT:001614	leech
OBT:000987	annelid
OBT:000707	lichen
OBT:003062	lion
OBT:002527	mink
OBT:003422	moose
OBT:000745	moss
OBT:002532	muskrat
OBT:002148	mustelidae
OBT:003110	otter
OBT:002169	parrot
OBT:002544	parakeet
OBT:000820	porifera
OBT:003426	reindeer
OBT:003073	seal
OBT:001776	snail
OBT:001777	snake
OBT:001791	stink bug
OBT:003306	tilapia
OBT:000123	oxidoreductase activity
OBT:003079	toad
OBT:002956	amphibian
OBT:003031	trout
OBT:003309	tuna
OBT:003310	turbot
OBT:002947	tubeworm
OBT:002635	vole
OBT:001840	wasp
OBT:002315	yak
OBT:002318	zebra
OBT:002349	baboon
OBT:001898	bear
OBT:001895	bat
OBT:002358	beaver
OBT:001923	camel
OBT:002397	chinchilla
OBT:003413	elk
OBT:000992	ascidian
OBT:003045	dolphin
OBT:002894	bryozoan
OBT:001851	zooplankton
OBT:001714	phytoplankton
OBT:001001	bamboo
OBT:000974	Crassulaceae
OBT:002396	chimpanzee
OBT:000977	abalone
OBT:001919	bumblebee
OBT:002889	amphipod
OBT:002897	cod
OBT:001400	alligator
OBT:001507	crocodile
OBT:001424	ant
OBT:001878	antelope
OBT:001428	aphid
OBT:001882	armadillo
OBT:003551	bison
OBT:003552	buffalo
OBT:002994	kiwi
OBT:003000	moldy peanut
OBT:002996	mango
OBT:003010	papaya
OBT:002961	banana
OBT:002963	berry
OBT:002966	cantaloupe
OBT:002973	coconut
OBT:000721	maize storage
OBT:000271	exosphere
OBT:000344	mesosphere
OBT:000435	stratosphere
OBT:000451	thermosphere
OBT:001823	toe
OBT:000194	animal farm
OBT:000171	zoo
OBT:000311	horticulture farm
OBT:000798	periphytic
OBT:000080	epilythic
OBT:000082	epipelic
OBT:000086	epixylic
OBT:000084	epipsammic
OBT:000620	epizootic
OBT:000070	endolithic
OBT:000071	endolython
OBT:000074	endophyton
OBT:000077	endozoon
OBT:000081	epilython
OBT:000083	epipelon
OBT:000073	endopelon
OBT:000076	endopsammon
OBT:000085	epipsammon
OBT:000087	epixylon
